age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
51,management,married,primary,yes,57,yes,yes,unknown,8,may,61,1,-1,0,unknown,no
47,admin.,married,unknown,no,0,yes,no,unknown,7,may,164,1,-1,0,unknown,no
27,blue-collar,single,secondary,no,-208,yes,no,unknown,21,may,127,2,-1,0,unknown,no
36,management,married,tertiary,no,369,no,no,cellular,8,aug,75,2,-1,0,unknown,no
47,self-employed,married,secondary,no,1803,no,no,cellular,30,jan,188,2,-1,0,unknown,no
52,management,divorced,tertiary,no,12,yes,no,unknown,30,may,33,5,-1,0,unknown,no
53,technician,divorced,secondary,no,751,yes,no,unknown,16,may,343,4,-1,0,unknown,no
56,self-employed,married,secondary,no,123,no,no,unknown,13,may,81,1,-1,0,unknown,no
40,admin.,divorced,secondary,no,220,yes,no,cellular,18,may,197,2,-1,0,unknown,no
40,entrepreneur,married,secondary,no,1349,no,no,cellular,20,nov,82,3,-1,0,unknown,no
27,blue-collar,single,secondary,no,5563,yes,no,unknown,30,may,435,2,-1,0,unknown,no
36,technician,married,secondary,no,197,yes,no,cellular,7,may,589,2,-1,0,unknown,no
39,admin.,married,tertiary,no,1322,yes,no,cellular,24,sep,157,3,486,1,other,no
38,technician,single,secondary,no,372,no,no,unknown,23,may,59,3,-1,0,unknown,no
44,self-employed,married,unknown,no,680,yes,no,telephone,30,jul,84,4,-1,0,unknown,no
37,services,married,primary,yes,-483,yes,yes,cellular,6,may,222,2,168,3,failure,no
38,technician,single,secondary,no,2079,yes,yes,unknown,29,may,122,1,-1,0,unknown,no
75,retired,divorced,primary,no,3881,yes,no,cellular,4,feb,136,3,-1,0,unknown,yes
43,blue-collar,married,primary,no,-404,yes,yes,cellular,12,may,205,2,306,1,failure,no
22,student,single,secondary,no,2412,yes,no,unknown,9,may,238,2,-1,0,unknown,no
31,admin.,divorced,secondary,no,1210,no,no,cellular,16,jul,350,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,-1500,yes,no,unknown,27,may,157,2,-1,0,unknown,no
38,entrepreneur,married,tertiary,no,227,yes,no,cellular,4,feb,89,1,209,1,failure,no
30,blue-collar,married,secondary,no,1780,yes,no,unknown,28,may,116,12,-1,0,unknown,no
31,entrepreneur,single,secondary,no,37,no,no,cellular,8,aug,73,2,-1,0,unknown,no
33,management,single,tertiary,no,641,yes,no,cellular,4,feb,147,1,253,7,other,no
53,management,married,tertiary,no,597,no,no,unknown,22,feb,392,1,-1,0,unknown,yes
45,services,married,secondary,no,520,yes,no,unknown,15,may,714,4,-1,0,unknown,no
54,management,divorced,tertiary,no,12018,yes,no,cellular,21,dec,267,2,-1,0,unknown,yes
42,management,married,unknown,no,933,no,no,cellular,18,may,212,1,-1,0,unknown,no
35,entrepreneur,single,secondary,no,12961,yes,no,unknown,21,may,272,2,-1,0,unknown,no
31,housemaid,married,primary,no,-184,yes,no,cellular,24,jul,326,1,-1,0,unknown,no
72,retired,divorced,primary,no,0,no,no,telephone,28,aug,359,1,-1,0,unknown,no
67,retired,divorced,secondary,no,704,no,no,cellular,8,feb,186,2,97,1,success,yes
44,blue-collar,married,primary,no,-89,no,yes,cellular,23,jul,187,4,-1,0,unknown,no
30,management,single,tertiary,no,1692,yes,no,cellular,15,may,251,1,-1,0,unknown,no
34,blue-collar,married,primary,no,3,yes,no,cellular,13,may,369,2,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,719,yes,no,unknown,13,may,1052,1,-1,0,unknown,no
43,technician,married,secondary,no,282,no,yes,cellular,21,nov,48,2,-1,0,unknown,no
31,technician,married,secondary,no,141,no,no,cellular,20,aug,110,2,-1,0,unknown,no
28,admin.,married,secondary,no,-247,yes,yes,cellular,30,jan,121,1,240,2,failure,no
36,self-employed,single,tertiary,no,577,yes,no,cellular,15,may,33,1,298,1,failure,no
34,technician,married,secondary,yes,91,no,no,cellular,29,aug,67,4,-1,0,unknown,no
40,blue-collar,married,primary,no,117,yes,no,unknown,19,jun,172,3,-1,0,unknown,no
36,blue-collar,married,primary,no,272,no,no,unknown,11,jun,222,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,yes,no,telephone,8,may,91,2,170,2,failure,no
31,admin.,single,secondary,no,43,no,no,unknown,1,jul,484,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,82,yes,no,cellular,28,jul,86,4,-1,0,unknown,no
53,technician,married,tertiary,no,476,yes,no,cellular,28,jan,160,1,-1,0,unknown,no
44,admin.,divorced,secondary,no,397,yes,yes,cellular,16,feb,127,1,257,1,other,yes
55,management,married,tertiary,no,685,yes,no,unknown,5,may,174,3,-1,0,unknown,no
50,management,married,tertiary,no,1822,yes,no,cellular,20,apr,6,1,-1,0,unknown,no
30,entrepreneur,married,primary,no,2686,yes,no,cellular,15,jul,808,3,-1,0,unknown,yes
38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
60,self-employed,single,secondary,no,312,yes,no,unknown,2,jun,210,2,-1,0,unknown,no
31,unemployed,married,secondary,no,31,yes,no,cellular,15,jul,211,6,-1,0,unknown,no
43,management,single,tertiary,no,946,no,no,telephone,28,aug,40,1,-1,0,unknown,no
22,blue-collar,single,secondary,no,3992,yes,yes,unknown,19,may,194,2,-1,0,unknown,no
48,unemployed,married,secondary,no,3287,yes,yes,cellular,20,apr,242,2,307,1,failure,no
59,management,married,tertiary,no,1069,no,no,cellular,29,jul,85,2,-1,0,unknown,no
25,services,single,secondary,no,-41,no,yes,cellular,14,jul,114,2,-1,0,unknown,no
29,unemployed,married,secondary,no,-25,yes,no,cellular,17,jul,143,1,-1,0,unknown,no
56,management,single,tertiary,no,545,yes,no,cellular,29,jan,86,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,53,yes,no,unknown,7,may,446,1,-1,0,unknown,no
34,management,single,tertiary,no,2015,no,no,unknown,21,may,388,1,-1,0,unknown,no
50,blue-collar,married,primary,no,-294,yes,no,unknown,6,jun,79,3,-1,0,unknown,no
53,technician,married,secondary,no,1835,yes,no,cellular,21,nov,184,2,-1,0,unknown,no
37,admin.,married,secondary,no,1314,yes,no,cellular,21,aug,200,1,91,10,failure,no
30,technician,single,tertiary,no,3,yes,no,unknown,7,may,174,1,-1,0,unknown,no
42,management,married,unknown,no,342,yes,no,unknown,2,jun,156,5,-1,0,unknown,no
39,management,married,unknown,no,4800,no,no,unknown,12,jun,135,3,-1,0,unknown,no
50,services,married,primary,no,-15,no,yes,unknown,2,jul,71,1,-1,0,unknown,no
40,unemployed,married,secondary,no,1872,no,no,cellular,21,nov,112,1,-1,0,unknown,no
30,admin.,married,primary,no,9,yes,yes,cellular,16,apr,323,1,-1,0,unknown,no
46,services,divorced,secondary,no,864,yes,no,cellular,18,nov,105,5,188,2,failure,no
49,blue-collar,married,primary,no,490,yes,no,telephone,18,may,19,5,364,2,failure,no
42,technician,single,secondary,no,541,yes,no,cellular,5,feb,656,1,-1,0,unknown,yes
36,technician,single,secondary,no,2511,yes,no,cellular,16,apr,700,5,-1,0,unknown,yes
54,blue-collar,married,secondary,no,1487,yes,no,unknown,14,may,302,16,-1,0,unknown,no
50,management,married,tertiary,no,5108,yes,no,cellular,18,dec,406,1,182,2,failure,yes
49,technician,married,secondary,no,10,no,no,cellular,29,aug,135,2,-1,0,unknown,no
28,blue-collar,married,secondary,no,1843,yes,no,cellular,20,apr,415,2,-1,0,unknown,no
51,housemaid,divorced,primary,no,127,no,no,unknown,13,sep,69,1,-1,0,unknown,no
49,technician,married,secondary,no,-215,yes,no,unknown,26,may,155,2,-1,0,unknown,no
48,management,divorced,tertiary,no,503,no,yes,unknown,12,jun,1243,7,-1,0,unknown,yes
47,blue-collar,married,primary,no,2749,yes,no,cellular,30,apr,774,2,164,1,failure,yes
46,blue-collar,married,primary,no,2023,yes,no,cellular,21,nov,118,1,-1,0,unknown,no
43,admin.,single,secondary,no,445,yes,no,unknown,19,may,546,2,-1,0,unknown,no
47,blue-collar,married,unknown,no,878,yes,no,cellular,13,may,245,4,-1,0,unknown,no
60,management,married,tertiary,no,3029,no,no,cellular,28,aug,26,9,-1,0,unknown,no
23,housemaid,single,secondary,no,650,yes,no,cellular,14,may,136,1,367,4,failure,no
26,blue-collar,single,secondary,no,249,yes,no,cellular,29,jan,235,3,262,5,failure,no
43,admin.,divorced,secondary,no,587,yes,no,cellular,17,jul,282,1,-1,0,unknown,no
44,admin.,divorced,secondary,no,4353,yes,no,cellular,15,jul,90,1,-1,0,unknown,no
45,management,married,tertiary,no,409,no,no,unknown,11,jun,144,1,-1,0,unknown,no
32,student,single,unknown,no,1583,yes,no,unknown,20,may,57,1,-1,0,unknown,no
54,management,married,tertiary,no,0,no,no,cellular,5,aug,214,3,-1,0,unknown,no
29,technician,single,secondary,no,205,yes,no,cellular,17,apr,218,1,340,3,failure,no
35,admin.,married,tertiary,no,690,no,no,cellular,16,oct,108,1,-1,0,unknown,no
31,unemployed,single,secondary,no,8304,no,no,cellular,20,oct,164,1,183,1,failure,no
31,management,married,tertiary,no,-513,no,yes,cellular,7,jul,124,1,-1,0,unknown,no
60,blue-collar,married,primary,no,7929,no,no,unknown,1,apr,111,1,-1,0,unknown,yes
60,retired,married,tertiary,no,2868,no,no,unknown,20,jun,42,7,-1,0,unknown,no
35,technician,married,secondary,no,746,no,yes,cellular,27,jan,240,1,-1,0,unknown,no
33,management,divorced,tertiary,no,2695,yes,no,cellular,12,aug,711,3,-1,0,unknown,no
52,technician,married,secondary,no,0,no,no,cellular,29,aug,67,2,-1,0,unknown,no
28,technician,single,secondary,no,1363,no,no,cellular,27,feb,79,1,-1,0,unknown,yes
37,management,married,tertiary,no,4436,no,no,cellular,13,aug,846,5,-1,0,unknown,yes
41,self-employed,single,tertiary,no,10346,no,no,cellular,14,dec,352,1,182,3,success,no
35,blue-collar,married,primary,no,0,yes,no,unknown,6,may,154,2,-1,0,unknown,no
45,blue-collar,married,primary,no,1951,no,no,cellular,12,aug,73,2,-1,0,unknown,no
32,admin.,single,tertiary,no,902,yes,no,cellular,18,may,50,7,-1,0,unknown,no
56,retired,married,secondary,no,1454,no,no,telephone,30,jan,479,1,-1,0,unknown,no
28,student,single,secondary,no,101,no,no,cellular,28,jan,90,1,-1,0,unknown,no
55,admin.,married,secondary,no,6205,no,no,cellular,6,may,233,2,-1,0,unknown,no
29,blue-collar,married,secondary,no,3007,yes,no,cellular,20,apr,19,5,-1,0,unknown,no
58,blue-collar,divorced,secondary,no,314,no,no,unknown,25,jun,67,2,-1,0,unknown,no
55,technician,married,secondary,no,891,no,no,unknown,19,jun,268,1,-1,0,unknown,no
31,services,divorced,secondary,no,81,yes,no,cellular,16,apr,139,1,-1,0,unknown,no
56,services,married,secondary,no,22196,yes,no,cellular,21,nov,189,1,-1,0,unknown,no
33,technician,single,secondary,no,1500,no,no,cellular,7,aug,133,4,-1,0,unknown,no
33,technician,married,secondary,no,2,no,no,cellular,28,aug,385,7,-1,0,unknown,no
48,admin.,divorced,secondary,no,2662,no,no,unknown,6,jun,298,2,-1,0,unknown,no
57,services,married,secondary,no,1556,yes,no,cellular,20,nov,340,1,-1,0,unknown,no
50,blue-collar,married,primary,no,1203,yes,yes,unknown,28,may,66,7,-1,0,unknown,no
29,admin.,single,secondary,no,596,yes,no,cellular,18,may,172,2,346,6,failure,no
34,technician,married,secondary,no,456,yes,no,unknown,23,may,621,1,-1,0,unknown,no
31,technician,single,secondary,no,579,yes,yes,cellular,17,apr,469,3,322,15,other,no
58,admin.,married,secondary,no,1455,yes,no,cellular,21,jul,119,1,-1,0,unknown,no
31,services,single,secondary,no,8,no,no,cellular,7,jul,340,3,-1,0,unknown,no
50,blue-collar,married,secondary,no,616,yes,no,cellular,6,aug,439,6,-1,0,unknown,no
47,blue-collar,married,primary,no,176,yes,no,unknown,30,may,35,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,960,yes,no,unknown,15,may,436,1,-1,0,unknown,no
31,management,married,tertiary,no,91,no,no,unknown,27,may,145,2,-1,0,unknown,no
46,blue-collar,married,primary,no,1,yes,yes,telephone,10,jul,270,7,-1,0,unknown,no
26,unemployed,single,secondary,no,632,no,no,cellular,12,feb,218,1,-1,0,unknown,yes
40,management,married,tertiary,no,384,no,no,unknown,28,may,191,2,-1,0,unknown,no
46,admin.,divorced,secondary,no,-637,yes,no,cellular,8,may,218,1,172,1,failure,no
57,self-employed,married,tertiary,no,894,yes,no,cellular,18,nov,79,1,-1,0,unknown,no
33,management,married,tertiary,no,2213,no,no,cellular,18,feb,240,1,385,9,failure,no
48,technician,divorced,secondary,no,164,yes,no,unknown,12,may,139,2,-1,0,unknown,no
34,entrepreneur,married,primary,no,165,yes,no,cellular,17,apr,182,2,329,1,failure,no
57,management,married,tertiary,no,1963,no,yes,cellular,8,aug,178,3,-1,0,unknown,no
37,technician,single,secondary,no,0,no,no,unknown,5,jun,80,2,-1,0,unknown,no
44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,12,aug,137,2,104,3,success,yes
57,housemaid,married,primary,no,260,yes,no,unknown,16,may,38,3,-1,0,unknown,no
30,technician,single,tertiary,no,3,yes,no,cellular,6,may,45,2,169,2,failure,no
48,services,married,secondary,no,127,no,no,cellular,8,jul,117,1,-1,0,unknown,no
51,entrepreneur,married,secondary,no,-799,no,yes,cellular,15,jul,1001,3,-1,0,unknown,yes
60,technician,married,secondary,no,2389,yes,yes,cellular,4,may,287,1,-1,0,unknown,no
37,management,married,tertiary,no,1967,yes,no,cellular,27,may,774,1,-1,0,unknown,no
58,retired,married,primary,no,1351,yes,no,telephone,17,apr,392,3,-1,0,unknown,no
49,admin.,married,tertiary,no,8413,no,no,cellular,19,aug,131,6,-1,0,unknown,no
26,admin.,single,secondary,no,-35,no,yes,cellular,8,jul,304,1,-1,0,unknown,no
38,technician,married,tertiary,no,206,no,no,cellular,8,apr,350,2,-1,0,unknown,yes
55,retired,married,secondary,no,1126,yes,no,telephone,28,jul,388,2,-1,0,unknown,no
37,unemployed,married,primary,no,941,no,no,cellular,2,feb,280,1,-1,0,unknown,no
33,blue-collar,married,primary,no,1138,yes,yes,cellular,15,may,122,2,343,4,failure,no
32,blue-collar,single,secondary,no,235,yes,no,cellular,12,may,482,1,-1,0,unknown,no
57,retired,married,secondary,no,1354,no,no,cellular,31,jul,131,9,-1,0,unknown,no
44,services,married,secondary,no,522,no,yes,unknown,20,jun,911,1,-1,0,unknown,yes
54,management,married,tertiary,no,12,no,no,telephone,31,jul,77,4,-1,0,unknown,no
48,blue-collar,single,primary,no,396,yes,no,unknown,12,may,194,3,-1,0,unknown,no
39,blue-collar,married,primary,no,532,yes,no,cellular,31,jul,786,2,-1,0,unknown,no
44,management,married,tertiary,no,-692,no,yes,cellular,21,nov,52,2,-1,0,unknown,no
57,unemployed,married,primary,no,2743,no,no,cellular,29,jan,89,1,-1,0,unknown,no
39,housemaid,married,tertiary,no,2990,no,no,telephone,30,apr,127,4,-1,0,unknown,no
46,housemaid,married,primary,no,201,yes,no,cellular,21,jul,91,1,-1,0,unknown,no
39,services,divorced,secondary,no,-152,yes,no,cellular,3,apr,179,3,-1,0,unknown,no
34,technician,single,secondary,no,194,yes,yes,cellular,15,may,1015,1,-1,0,unknown,yes
36,self-employed,single,secondary,no,15,no,no,cellular,18,nov,186,2,-1,0,unknown,no
29,management,single,tertiary,no,5980,yes,no,unknown,28,may,317,1,-1,0,unknown,no
30,technician,married,secondary,no,854,yes,no,unknown,2,jun,163,2,-1,0,unknown,no
56,blue-collar,married,primary,no,0,no,no,unknown,27,jun,291,2,-1,0,unknown,no
37,admin.,married,secondary,no,-557,yes,yes,cellular,15,may,284,15,-1,0,unknown,no
38,blue-collar,single,primary,no,3132,no,no,cellular,5,feb,304,1,-1,0,unknown,no
40,blue-collar,divorced,unknown,no,1171,yes,no,unknown,29,may,431,2,-1,0,unknown,no
25,admin.,single,secondary,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,658,yes,no,cellular,17,apr,99,3,267,1,failure,no
37,management,married,tertiary,no,3841,no,no,cellular,11,jul,69,2,-1,0,unknown,no
39,services,married,secondary,no,1438,yes,no,unknown,20,may,212,2,-1,0,unknown,no
24,student,single,tertiary,no,1535,yes,no,unknown,12,may,126,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,1288,yes,no,telephone,2,feb,18,1,-1,0,unknown,no
30,technician,single,secondary,no,458,no,no,cellular,20,nov,51,7,-1,0,unknown,no
25,student,single,unknown,no,839,no,no,cellular,15,mar,109,1,181,2,other,no
31,blue-collar,married,secondary,no,8,yes,no,cellular,8,may,98,2,170,1,failure,no
34,management,single,tertiary,no,621,yes,no,cellular,17,nov,97,1,-1,0,unknown,no
59,blue-collar,married,primary,no,14,yes,yes,cellular,18,nov,319,2,182,1,failure,no
44,self-employed,married,secondary,no,304,yes,no,telephone,9,feb,15,5,-1,0,unknown,no
53,blue-collar,married,unknown,no,-491,yes,no,unknown,20,jun,124,4,-1,0,unknown,no
31,blue-collar,single,secondary,no,54,yes,no,cellular,29,jun,401,1,-1,0,unknown,yes
47,blue-collar,married,primary,no,3451,no,yes,cellular,21,nov,125,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,1039,yes,no,cellular,20,nov,57,2,-1,0,unknown,no
45,technician,married,primary,no,-158,yes,no,cellular,12,may,317,2,-1,0,unknown,no
30,management,divorced,tertiary,no,0,no,no,cellular,22,aug,209,2,-1,0,unknown,no
38,technician,married,secondary,no,751,yes,no,cellular,3,apr,125,1,-1,0,unknown,no
38,management,married,unknown,no,933,no,no,unknown,20,jun,95,2,-1,0,unknown,no
28,management,single,tertiary,no,1252,yes,yes,cellular,8,jul,319,4,-1,0,unknown,no
36,blue-collar,single,primary,no,49,yes,no,unknown,8,may,405,1,-1,0,unknown,no
31,technician,single,tertiary,no,3194,no,no,cellular,11,aug,140,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,2206,yes,no,unknown,15,may,875,5,-1,0,unknown,no
32,blue-collar,married,secondary,no,2561,yes,no,unknown,20,may,135,2,-1,0,unknown,no
24,blue-collar,single,unknown,no,11,yes,no,unknown,13,may,109,2,-1,0,unknown,no
30,admin.,married,secondary,no,60,no,yes,cellular,25,jul,61,2,-1,0,unknown,no
55,blue-collar,married,primary,no,283,no,yes,cellular,9,jul,115,1,-1,0,unknown,no
